2018-08-14 03:20:40,091 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-08-14 03:20:40,109 [     18]   INFO -        #com.intellij.idea.Main - IDE: PyCharm Community Edition (build #PC-133.1229, 03 Apr 2014 00:00) 
2018-08-14 03:20:40,109 [     18]   INFO -        #com.intellij.idea.Main - OS: Windows 8 (6.2, x86) 
2018-08-14 03:20:40,109 [     18]   INFO -        #com.intellij.idea.Main - JRE: 1.7.0_40-b43 (Oracle Corporation) 
2018-08-14 03:20:40,109 [     18]   INFO -        #com.intellij.idea.Main - JVM: 24.0-b56 (Java HotSpot(TM) Server VM) 
2018-08-14 03:20:40,116 [     25]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx512m -XX:MaxPermSize=250m -XX:ReservedCodeCacheSize=64m -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -XX:+UseCodeCacheFlushing -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -Xbootclasspath/a:C:\Mega\PortableApps\Portable Python 2.7.6.1\App\PyCharm\lib\boot.jar -Didea.platform.prefix=PyCharmCore -Didea.no.jre.check=true -Didea.paths.selector=PyCharm30 
2018-08-14 03:20:40,247 [    156]   INFO -        #com.intellij.idea.Main - JNA library loaded (32-bit) in 131 ms 
2018-08-14 03:20:40,317 [    226]   INFO -        #com.intellij.idea.Main - Snappy library loaded (1.0.5) in 67 ms 
2018-08-14 03:20:40,342 [    251]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2018-08-14 03:20:40,362 [    271]   INFO -        #com.intellij.idea.Main - Using "FocusKiller" library to prevent focus stealing. 
2018-08-14 03:20:42,551 [   2460]   INFO - llij.ide.plugins.PluginManager - 10 plugins initialized in 824 ms 
2018-08-14 03:20:42,551 [   2460]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: CVS Integration (11), Git Integration (8.1), GitHub, IDEA CORE, Python ReStructureText Integration (VERSION), ReStructuredText Support (134.SNAPSHOT), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), hg4idea (10.0) 
2018-08-14 03:20:43,607 [   3516]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted 
2018-08-14 03:20:43,610 [   3519]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=200; buffer=10; max=498008064 
2018-08-14 03:20:43,697 [   3606]   INFO - api.vfs.impl.local.FileWatcher - Starting file watcher: C:\Mega\PortableApps\Portable Python 2.7.6.1\App\PyCharm\bin\fsnotifier.exe 
2018-08-14 03:20:43,720 [   3629]   INFO - api.vfs.impl.local.FileWatcher - Native file watcher is operational. 
2018-08-14 03:20:43,788 [   3697]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/other.xml file is null 
2018-08-14 03:20:43,797 [   3706]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/project.default.xml file is null 
2018-08-14 03:20:43,919 [   3828]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/filetypes.xml file is null 
2018-08-14 03:20:44,025 [   3934]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 5), rebuilding... 
